Date,ICSA
2009-03-14,651000.0
2009-03-21,661000.0
2009-03-28,665000.0
2009-04-04,653000.0
2009-04-11,599000.0
2009-04-18,639000.0
2009-04-25,620000.0
2009-05-02,602000.0
2009-05-09,625000.0
2009-05-16,620000.0
2009-05-23,606000.0
2009-05-30,607000.0
2009-06-06,596000.0
2009-06-13,595000.0
2009-06-20,608000.0
2009-06-27,594000.0
2009-07-04,573000.0
2009-07-11,546000.0
2009-07-18,560000.0
2009-07-25,587000.0
2009-08-01,555000.0
2009-08-08,555000.0
2009-08-15,562000.0
2009-08-22,560000.0
2009-08-29,564000.0
2009-09-05,558000.0
2009-09-12,542000.0
2009-09-19,536000.0
2009-09-26,554000.0
2009-10-03,533000.0
2009-10-10,511000.0
2009-10-17,531000.0
2009-10-24,530000.0
2009-10-31,522000.0
2009-11-07,512000.0
2009-11-14,507000.0
2009-11-21,482000.0
2009-11-28,475000.0
2009-12-05,497000.0
2009-12-12,498000.0
2009-12-19,479000.0
2009-12-26,468000.0
2010-01-02,456000.0
2010-01-09,469000.0
2010-01-16,507000.0
2010-01-23,471000.0
2010-01-30,496000.0
2010-02-06,466000.0
2010-02-13,489000.0
2010-02-20,500000.0
2010-02-27,488000.0
2010-03-06,472000.0
2010-03-13,478000.0
2010-03-20,472000.0
2010-03-27,459000.0
2010-04-03,479000.0
2010-04-10,479000.0
2010-04-17,469000.0
2010-04-24,449000.0
2010-05-01,451000.0
2010-05-08,451000.0
2010-05-15,474000.0
2010-05-22,463000.0
2010-05-29,458000.0
2010-06-05,459000.0
2010-06-12,467000.0
2010-06-19,452000.0
2010-06-26,464000.0
2010-07-03,454000.0
2010-07-10,439000.0
2010-07-17,462000.0
2010-07-24,465000.0
2010-07-31,476000.0
2010-08-07,483000.0
2010-08-14,486000.0
2010-08-21,464000.0
2010-08-28,467000.0
2010-09-04,452000.0
2010-09-11,444000.0
2010-09-18,459000.0
2010-09-25,459000.0
2010-10-02,446000.0
2010-10-09,459000.0
2010-10-16,444000.0
2010-10-23,432000.0
2010-10-30,453000.0
2010-11-06,434000.0
2010-11-13,432000.0
2010-11-20,407000.0
2010-11-27,432000.0
2010-12-04,428000.0
2010-12-11,425000.0
2010-12-18,424000.0
2010-12-25,404000.0
2011-01-01,413000.0
2011-01-08,434000.0
2011-01-15,421000.0
2011-01-22,446000.0
2011-01-29,420000.0
2011-02-05,402000.0
2011-02-12,425000.0
2011-02-19,394000.0
2011-02-26,385000.0
2011-03-05,414000.0
2011-03-12,404000.0
2011-03-19,407000.0
2011-03-26,399000.0
2011-04-02,395000.0
2011-04-09,416000.0
2011-04-16,402000.0
2011-04-23,422000.0
2011-04-30,468000.0
2011-05-07,435000.0
2011-05-14,414000.0
2011-05-21,423000.0
2011-05-28,418000.0
2011-06-04,423000.0
2011-06-11,413000.0
2011-06-18,416000.0
2011-06-25,421000.0
2011-07-02,418000.0
2011-07-09,408000.0
2011-07-16,420000.0
2011-07-23,411000.0
2011-07-30,406000.0
2011-08-06,405000.0
2011-08-13,409000.0
2011-08-20,415000.0
2011-08-27,409000.0
2011-09-03,414000.0
2011-09-10,429000.0
2011-09-17,422000.0
2011-09-24,406000.0
2011-10-01,405000.0
2011-10-08,410000.0
2011-10-15,395000.0
2011-10-22,403000.0
2011-10-29,399000.0
2011-11-05,392000.0
2011-11-12,383000.0
2011-11-19,385000.0
2011-11-26,397000.0
2011-12-03,387000.0
2011-12-10,368000.0
2011-12-17,368000.0
2011-12-24,386000.0
2011-12-31,376000.0
2012-01-07,391000.0
2012-01-14,367000.0
2012-01-21,381000.0
2012-01-28,372000.0
2012-02-04,368000.0
2012-02-11,361000.0
2012-02-18,359000.0
2012-02-25,365000.0
2012-03-03,375000.0
2012-03-10,369000.0
2012-03-17,368000.0
2012-03-24,363000.0
2012-03-31,358000.0
2012-04-07,387000.0
2012-04-14,381000.0
2012-04-21,387000.0
2012-04-28,372000.0
2012-05-05,373000.0
2012-05-12,369000.0
2012-05-19,371000.0
2012-05-26,381000.0
2012-06-02,377000.0
2012-06-09,383000.0
2012-06-16,384000.0
2012-06-23,380000.0
2012-06-30,372000.0
2012-07-07,360000.0
2012-07-14,390000.0
2012-07-21,368000.0
2012-07-28,372000.0
2012-08-04,371000.0
2012-08-11,369000.0
2012-08-18,376000.0
2012-08-25,377000.0
2012-09-01,371000.0
2012-09-08,393000.0
2012-09-15,392000.0
2012-09-22,377000.0
2012-09-29,376000.0
2012-10-06,350000.0
2012-10-13,386000.0
2012-10-20,374000.0
2012-10-27,364000.0
2012-11-03,365000.0
2012-11-10,446000.0
2012-11-17,406000.0
2012-11-24,388000.0
2012-12-01,375000.0
2012-12-08,340000.0
2012-12-15,356000.0
2012-12-22,362000.0
2012-12-29,362000.0
2013-01-05,363000.0
2013-01-12,344000.0
2013-01-19,339000.0
2013-01-26,366000.0
2013-02-02,361000.0
2013-02-09,347000.0
2013-02-16,362000.0
2013-02-23,342000.0
2013-03-02,340000.0
2013-03-09,343000.0
2013-03-16,343000.0
2013-03-23,358000.0
2013-03-30,375000.0
2013-04-06,359000.0
2013-04-13,356000.0
2013-04-20,343000.0
2013-04-27,331000.0
2013-05-04,335000.0
2013-05-11,360000.0
2013-05-18,343000.0
2013-05-25,353000.0
2013-06-01,346000.0
2013-06-08,337000.0
2013-06-15,353000.0
2013-06-22,347000.0
2013-06-29,340000.0
2013-07-06,351000.0
2013-07-13,344000.0
2013-07-20,355000.0
2013-07-27,334000.0
2013-08-03,339000.0
2013-08-10,327000.0
2013-08-17,340000.0
2013-08-24,336000.0
2013-08-31,325000.0
2013-09-07,300000.0
2013-09-14,323000.0
2013-09-21,314000.0
2013-09-28,319000.0
2013-10-05,368000.0
2013-10-12,368000.0
2013-10-19,351000.0
2013-10-26,347000.0
2013-11-02,342000.0
2013-11-09,340000.0
2013-11-16,331000.0
2013-11-23,316000.0
2013-11-30,312000.0
2013-12-07,354000.0
2013-12-14,364000.0
2013-12-21,334000.0
2013-12-28,332000.0
2014-01-04,322000.0
2014-01-11,318000.0
2014-01-18,327000.0
2014-01-25,340000.0
2014-02-01,331000.0
2014-02-08,337000.0
2014-02-15,332000.0
2014-02-22,341000.0
2014-03-01,319000.0
2014-03-08,322000.0
2014-03-15,321000.0
2014-03-22,313000.0
2014-03-29,330000.0
2014-04-05,311000.0
2014-04-12,308000.0
2014-04-19,327000.0
2014-04-26,345000.0
2014-05-03,325000.0
2014-05-10,303000.0
2014-05-17,324000.0
2014-05-24,305000.0
2014-05-31,312000.0
2014-06-07,317000.0
2014-06-14,314000.0
2014-06-21,315000.0
2014-06-28,308000.0
2014-07-05,302000.0
2014-07-12,308000.0
2014-07-19,294000.0
2014-07-26,303000.0
2014-08-02,295000.0
2014-08-09,309000.0
2014-08-16,303000.0
2014-08-23,300000.0
2014-08-30,303000.0
2014-09-06,307000.0
2014-09-13,288000.0
2014-09-20,295000.0
2014-09-27,290000.0
2014-10-04,293000.0
2014-10-11,281000.0
2014-10-18,290000.0
2014-10-25,291000.0
2014-11-01,280000.0
2014-11-08,291000.0
2014-11-15,293000.0
2014-11-22,303000.0
2014-11-29,291000.0
2014-12-06,291000.0
2014-12-13,286000.0
2014-12-20,276000.0
2014-12-27,285000.0
2015-01-03,294000.0
2015-01-10,304000.0
2015-01-17,298000.0
2015-01-24,261000.0
2015-01-31,281000.0
2015-02-07,298000.0
2015-02-14,285000.0
2015-02-21,305000.0
2015-02-28,317000.0
2015-03-07,293000.0
2015-03-14,290000.0
2015-03-21,284000.0
2015-03-28,269000.0
2015-04-04,282000.0
2015-04-11,298000.0
2015-04-18,295000.0
2015-04-25,269000.0
2015-05-02,267000.0
2015-05-09,271000.0
2015-05-16,276000.0
2015-05-23,281000.0
2015-05-30,275000.0
2015-06-06,278000.0
2015-06-13,269000.0
2015-06-20,273000.0
2015-06-27,275000.0
2015-07-04,292000.0
2015-07-11,285000.0
2015-07-18,265000.0
2015-07-25,269000.0
2015-08-01,270000.0
2015-08-08,274000.0
2015-08-15,279000.0
2015-08-22,274000.0
2015-08-29,279000.0
2015-09-05,273000.0
2015-09-12,264000.0
2015-09-19,269000.0
2015-09-26,272000.0
2015-10-03,267000.0
2015-10-10,265000.0
2015-10-17,264000.0
2015-10-24,264000.0
2015-10-31,275000.0
2015-11-07,276000.0
2015-11-14,272000.0
2015-11-21,261000.0
2015-11-28,265000.0
2015-12-05,280000.0
2015-12-12,268000.0
2015-12-19,260000.0
2015-12-26,276000.0
2016-01-02,273000.0
2016-01-09,284000.0
2016-01-16,290000.0
2016-01-23,269000.0
2016-01-30,281000.0
2016-02-06,265000.0
2016-02-13,263000.0
2016-02-20,272000.0
2016-02-27,269000.0
2016-03-05,257000.0
2016-03-12,263000.0
2016-03-19,264000.0
2016-03-26,273000.0
2016-04-02,272000.0
2016-04-09,263000.0
2016-04-16,255000.0
2016-04-23,259000.0
2016-04-30,277000.0
2016-05-07,290000.0
2016-05-14,279000.0
2016-05-21,268000.0
2016-05-28,264000.0
2016-06-04,265000.0
2016-06-11,273000.0
2016-06-18,261000.0
2016-06-25,262000.0
2016-07-02,256000.0
2016-07-09,257000.0
2016-07-16,260000.0
2016-07-23,264000.0
2016-07-30,266000.0
2016-08-06,266000.0
2016-08-13,265000.0
2016-08-20,265000.0
2016-08-27,262000.0
2016-09-03,257000.0
2016-09-10,253000.0
2016-09-17,252000.0
2016-09-24,247000.0
2016-10-01,246000.0
2016-10-08,251000.0
2016-10-15,264000.0
2016-10-22,257000.0
2016-10-29,265000.0
2016-11-05,251000.0
2016-11-12,232000.0
2016-11-19,248000.0
2016-11-26,260000.0
2016-12-03,252000.0
2016-12-10,251000.0
2016-12-17,262000.0
2016-12-24,254000.0
2016-12-31,236000.0
2017-01-07,244000.0
2017-01-14,246000.0
2017-01-21,256000.0
2017-01-28,241000.0
2017-02-04,236000.0
2017-02-11,242000.0
2017-02-18,247000.0
2017-02-25,232000.0
2017-03-04,246000.0
2017-03-11,244000.0
2017-03-18,255000.0
2017-03-25,256000.0
2017-04-01,236000.0
2017-04-08,237000.0
2017-04-15,244000.0
2017-04-22,251000.0
2017-04-29,241000.0
2017-05-06,237000.0
2017-05-13,237000.0
2017-05-20,234000.0
2017-05-27,251000.0
2017-06-03,244000.0
2017-06-10,238000.0
2017-06-17,243000.0
2017-06-24,237000.0
2017-07-01,248000.0
2017-07-08,248000.0
2017-07-15,241000.0
2017-07-22,245000.0
2017-07-29,242000.0
2017-08-05,246000.0
2017-08-12,236000.0
2017-08-19,241000.0
2017-08-26,239000.0
2017-09-02,299000.0
2017-09-09,275000.0
2017-09-16,260000.0
2017-09-23,262000.0
2017-09-30,255000.0
2017-10-07,246000.0
2017-10-14,232000.0
2017-10-21,236000.0
2017-10-28,235000.0
2017-11-04,240000.0
2017-11-11,246000.0
2017-11-18,238000.0
2017-11-25,237000.0
2017-12-02,235000.0
2017-12-09,226000.0
2017-12-16,242000.0
2017-12-23,242000.0
2017-12-30,243000.0
2018-01-06,251000.0
2018-01-13,229000.0
2018-01-20,237000.0
2018-01-27,221000.0
2018-02-03,221000.0
2018-02-10,224000.0
2018-02-17,220000.0
2018-02-24,215000.0
2018-03-03,226000.0
2018-03-10,223000.0
2018-03-17,224000.0
2018-03-24,220000.0
2018-03-31,237000.0
2018-04-07,234000.0
2018-04-14,235000.0
2018-04-21,207000.0
2018-04-28,212000.0
2018-05-05,210000.0
2018-05-12,224000.0
2018-05-19,230000.0
2018-05-26,221000.0
2018-06-02,221000.0
2018-06-09,218000.0
2018-06-16,220000.0
2018-06-23,220000.0
2018-06-30,228000.0
2018-07-07,215000.0
2018-07-14,212000.0
2018-07-21,220000.0
2018-07-28,218000.0
2018-08-04,218000.0
2018-08-11,213000.0
2018-08-18,216000.0
2018-08-25,214000.0
2018-09-01,210000.0
2018-09-08,211000.0
2018-09-15,213000.0
2018-09-22,212000.0
2018-09-29,217000.0
2018-10-06,213000.0
2018-10-13,213000.0
2018-10-20,219000.0
2018-10-27,217000.0
2018-11-03,217000.0
2018-11-10,218000.0
2018-11-17,222000.0
2018-11-24,232000.0
2018-12-01,232000.0
2018-12-08,203000.0
2018-12-15,216000.0
2018-12-22,219000.0
2018-12-29,228000.0
2019-01-05,220000.0
2019-01-12,216000.0
2019-01-19,209000.0
2019-01-26,236000.0
2019-02-02,230000.0
2019-02-09,228000.0
2019-02-16,218000.0
2019-02-23,224000.0
2019-03-02,220000.0
2019-03-09,224000.0
2019-03-16,219000.0
2019-03-23,215000.0
2019-03-30,211000.0
2019-04-06,203000.0
2019-04-13,203000.0
2019-04-20,226000.0
2019-04-27,230000.0
2019-05-04,225000.0
2019-05-11,217000.0
2019-05-18,213000.0
2019-05-25,218000.0
2019-06-01,220000.0
2019-06-08,220000.0
2019-06-15,219000.0
2019-06-22,224000.0
2019-06-29,222000.0
2019-07-06,211000.0
2019-07-13,217000.0
2019-07-20,211000.0
2019-07-27,216000.0
2019-08-03,214000.0
2019-08-10,218000.0
2019-08-17,215000.0
2019-08-24,215000.0
2019-08-31,219000.0
2019-09-07,208000.0
2019-09-14,211000.0
2019-09-21,215000.0
2019-09-28,218000.0
2019-10-05,212000.0
2019-10-12,218000.0
2019-10-19,213000.0
2019-10-26,217000.0
2019-11-02,212000.0
2019-11-09,222000.0
2019-11-16,223000.0
2019-11-23,211000.0
2019-11-30,206000.0
2019-12-07,237000.0
2019-12-14,229000.0
2019-12-21,218000.0
2019-12-28,220000.0
2020-01-04,212000.0
2020-01-11,207000.0
2020-01-18,220000.0
2020-01-25,212000.0
2020-02-01,201000.0
2020-02-08,204000.0
2020-02-15,215000.0
2020-02-22,220000.0
2020-02-29,217000.0
2020-03-07,211000.0
2020-03-14,282000.0
2020-03-21,3307000.0
2020-03-28,6867000.0
2020-04-04,6615000.0
2020-04-11,5237000.0
2020-04-18,4442000.0
2020-04-25,3867000.0
2020-05-02,3176000.0
2020-05-09,2687000.0
2020-05-16,2446000.0
2020-05-23,2123000.0
2020-05-30,1897000.0
2020-06-06,1566000.0
2020-06-13,1540000.0
2020-06-20,1482000.0
2020-06-27,1408000.0
2020-07-04,1310000.0
2020-07-11,1308000.0
2020-07-18,1422000.0
2020-07-25,1435000.0
2020-08-01,1191000.0
2020-08-08,971000.0
2020-08-15,1104000.0
2020-08-22,1011000.0
2020-08-29,884000.0
2020-09-05,893000.0
2020-09-12,860000.0
